,guest_count,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,reviews_per_month,average_ratings,clusters,cluster
2922,4,1.0,4.0,120.0,2,28,27,51,80,2.46,4.946666666666666,2,dark purple
2923,4,1.5,2.0,299.0,4,45,3,33,63,0.46,4.951666666666667,2,dark purple
2924,2,1.0,2.0,112.0,2,14,0,0,0,8.36,4.96,2,dark purple
2925,4,1.0,2.0,82.0,30,365,0,0,0,0.66,4.75,1,purple
2926,2,1.0,1.0,99.0,1,28,26,56,86,1.85,4.955000000000001,2,dark purple
2927,2,1.0,1.0,70.0,29,365,25,54,84,0.63,4.833333333333333,1,purple
2928,2,1.0,1.0,79.0,30,365,2,32,62,0.43,5.0,1,purple
2929,3,1.0,1.0,85.0,30,365,0,15,45,0.54,4.668333333333333,1,purple
2930,3,1.0,2.0,99.0,30,1125,0,0,7,0.09,4.71,0,pink
2931,2,1.0,1.0,101.0,1,30,0,0,0,4.98,4.9383333333333335,2,dark purple
2932,8,2.0,4.0,248.0,2,29,4,22,27,4.66,4.971666666666667,2,dark purple
2933,8,1.0,6.0,106.0,1,28,0,0,0,9.09,4.973333333333334,2,dark purple
2934,2,1.0,1.0,96.0,29,30,28,58,88,5.12,4.951666666666667,2,dark purple
2935,2,1.0,1.0,58.0,2,20,0,0,0,2.08,4.933333333333333,2,dark purple
2936,6,2.5,4.0,174.0,1,28,27,57,87,0.0,0.0,2,dark purple
2937,4,2.5,2.0,370.0,2,10,27,57,87,1.58,5.0,2,dark purple
2938,10,2.5,5.0,220.0,1,365,17,44,74,1.82,4.839999999999999,1,purple
2939,6,2.0,3.0,363.0,3,90,19,45,66,4.09,4.991666666666667,2,dark purple
2940,3,1.0,1.0,47.0,30,365,0,30,60,0.28,3.3333333333333335,1,purple
2941,7,2.5,3.0,329.0,1,1125,24,54,84,2.7,4.988333333333333,0,pink
2942,2,1.0,1.0,96.0,29,1125,23,53,83,4.31,4.956666666666667,0,pink
2943,10,3.5,4.0,314.0,3,30,11,12,13,0.64,5.0,2,dark purple
2944,3,1.0,2.0,95.0,29,1125,30,60,90,0.6,4.796666666666667,0,pink
2945,4,1.0,2.0,110.0,1,365,17,36,62,2.33,4.9383333333333335,1,purple
2946,7,3.5,7.0,230.0,30,1125,0,16,36,0.2,4.666666666666667,0,pink
2947,6,2.5,4.0,116.0,29,365,13,43,73,0.0,0.0,1,purple
2948,2,1.0,1.0,36.0,1,4,18,48,77,4.38,4.9750000000000005,2,dark purple
2949,4,1.0,2.0,96.0,2,1125,30,60,90,0.0,0.0,0,pink
2950,2,1.0,1.0,72.0,30,89,30,60,90,0.18,3.5833333333333335,2,dark purple
2951,1,1.0,1.0,69.0,2,1125,0,0,27,2.51,4.871666666666667,0,pink
2952,5,2.0,2.0,210.0,3,15,11,21,48,0.94,4.99,2,dark purple
2953,4,1.0,2.0,150.0,29,365,30,60,90,0.0,0.0,1,purple
2954,4,1.0,2.0,139.0,1,1125,0,0,0,5.74,4.878333333333333,0,pink
2955,6,1.0,5.0,83.0,1,150,1,1,16,2.71,4.755000000000001,2,dark purple
2956,5,2.0,2.0,96.0,29,365,8,8,8,0.6,5.0,1,purple
